Kode kerusakan,Nama kerusakan
S001,Tutup kran bensin.  buka gas (throttle) lebar-lebar dan injak kick strarter berulang-ulang sampai mesin hidup
S002,Lepaskan spuyer pada karburator.cuci dengan bensin atau minyak tanah kemudian semprot dengan angin sampaikering
S003,Bersihkan kran bensin dengan minyak tanah lalu keringkan
S004,Jika busi tidak cocok maka ganti. setel celah platina dantiming ignition
S005,Periksa kontak dengan pemegang sekering apa masih baik atau tidak. bila pemegang ssekering karatan maka hilangkan dengan amplas
S006,Putar sekrup pengatur gas sehingga idle lebih cepat. pada  saat penyetelan idle pakai tachometer untuk memastikan kebenaran
S007,Periksa hubungan kabel tegangan tinggi. bila longgar maka perbaiki sambungannya
S008,Atur piston pada posisi yang sesuai dengan sudut pengapian sehingga koil menghasilkan tegangan tinggi pada kedudukannya. bila tercapai maka jarak celah kontak platina harus diukur
S009,Periksa pengikat mur dan baut pada mesin. pada karburator. kepala silinder dan knalpot disesuaikan dengan tabel torsi pengencangan
S010,Bila aliran bensin pada karburator tidak ada. pemeriksaan dan perbaikan dimulai dari selang bensin sampai ke tangki
S011,Campuran bahan bakar bensin pada vespa harus memakai oli
S012,Untuk menghasilkan daya mesin yang cukup besar harus mempunyai gerak main lengan kopling secara tepat
S013,Periksa tekanan kompresi mesin dengan alat kompresi tester hingga menghasilkan kompresi yang cukup
S014,Bila tangki bensin bocor periksa mur yang menetapkan kran pada tangki bensin bila longgar kencangkan. Bila bocor pada sambungan pipa bensin maka kencangkanpengikatnya (clip)
S015,Atur piston agar sesuai dengan sudut pemajuan pengapian. putar alat penyangga koil sampai pada kedudukannya.Jarak celah kontak platina harus 0.3-0.5 mm. bersihkan permukaan titik permukaan kontak terbakar atau kasar atau kotor oleh karbon haluskan dengan amplas
S016,Bila tekanan kompresi turun dengan keausan silinder. torak atau cincin torak. maka konsumsi bensin akan boros
S017,Bersihkan knalpot dengan kawat yang ujungnya dibengkokkan atau knalpot ditiup dengan angin diujungpipa setelah sebelumnya unit tersebut dibakar bagian luarnya
S018,Bila kopling slip atau rem menahan. saat lengan kopling lepas atau rem tidak disetel dengan tepat maka daya mesin tidak cukup besar untuk memutar roda dan akan menahan gerak roda
S019,Agar bahan bakar tidak boros hindari kesalahan dalam pemakaian
S020,Tarik perlahan-lahan tangki kopling sampai ada tekanan dan setel gerak main kopling dengan mengendorkan mur penyetel dan putar penyetel “A” untuk menarik atau mengendorkan kabel transmisi
S021,Kopling harus dibongkar dan komponen-komponen tersebut harus diganti
S022,Tarik perlahan-lahan tangki kopling sampai ada tekanan dan setel gerak main kopling dengan mengendorkan mur penyetel dan putar penyetel “B” untuk menarik atau mengendorkan kabel transmisi
S023,Ganti dengan yang baru dan periksa bak rumah kopling bersihkan dengan bensin dan keringkan dengan angin
S024,Tarik tangkai seluruhnya jika masih terasa sukar lepaskan kopling tersebut. tarik lagi lalu putar pemindahan gigi pada stang kemudi kiri
S025,Tarik kedua kabel kopling. disetel menurut spesifikasinya
S026,Mesin harus dibongkar. periksa bilamana pada bagian dalam mesin ada yang rusak atau aus
S027,Ganti oli secara periodik dan selalu cek keadaan oli. kebocoran oli secara teratur. pakai oli yang sesuai dengan spesifikasi
S028,Mesin harus dibongkar dan perbaiki garpu pemindah gigi yang bengkok atau pros garpu yang bengkok
S029,Setel rem dengan cara menyetel sekrup atau periksa brake jaw. jika tipis ganti dengan yang baru. Periksa brake drum jika kasar haluskan dengan amplas. jika cacat atau aus ganti dengan yang baru
S030,Bersihkan permukaan bagian yang terkena oli dengan bensin dan semprot dengan angin sampai kering. ganti oli seal dengan yang baru
S031,Kencangkan mur pengikat roda yang kendor
S032,Bongkar komponen-komponennya untuk menghindarkan segala kemungkinan yang rusak
